Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
B_03_062,beer,4.760,1.333,6,2
G_02_53,before,4.667,4.152,5,1
F_02_37,beg,3.815,2.900,7,2
C_02_036,behavior,3.741,1.481,6,5
B_02_048,behind,4.200,2.633,5,1
D_02_049,believe,5.370,2.355,7,2
G_02_11,believe_2,5.926,5.000,7,2
G_02_18,bell,2.833,3.750,6,3
A_03_036,belt,2.130,6.524,6,5
E_02_93,belt_3,3.688,4.267,7,5
G_03_31,bend,3.280,6.000,7,5
C_02_056,benefit,3.000,1.645,6,2
E_01_95,berry_1,3.600,1.760,6,3
F_02_62,best,5.926,2.839,2,2
F_02_27,bet,4.385,2.517,7,5
F_01_62,better,6.370,1.909,2,2
J_03_003,between,4.448,3.318,0,1
E_02_103,bib,3.563,4.800,6,5
D_02_026,bicycle,5.185,5.484,6,5
F_02_54,big,3.474,2.226,2,5
E_03_92,bind,4.167,5.250,7,5
A_03_074,binoculars,2.375,6.952,6,5
A_02_015,biology,3.444,1.367,6,5
A_01_041,bird,5.161,4.553,6,2
C_02_076,birth,4.367,2.519,6,1
D_01_054,birthday,5.185,1.242,6,2
E_02_68,bison,2.667,3.267,6,5
H_01_58,bitch,4.292,2.000,6,2
G_02_99,bite,4.370,5.563,7,3
K_02_045,BITE,0,0,0,2
K_03_082,BITE_ON_ARM,0,0,0,2
E_03_35,bite_on_neck,2.167,6.333,7,2
B_02_006,black,5.920,1.200,2,2
K_03_124,BLACKBIRD,0,0,0,2
G_01_5,blame,3.615,1.733,7,3
H_02_6,blank,2.429,2.304,2,5
A_03_032,blanket,4.375,3.286,6,5
J_03_075,bleed,4.379,1.682,0,2
G_02_16,bless,4.259,2.313,7,5
B_01_016,blind,3.320,3.885,2,2
B_02_081,blinds_1,2.200,4.267,6,5
C_03_014,blinds_2,1.826,3.889,6,5
G_02_55,blink,4.370,5.969,7,5
E_02_102,blond,4.625,2.724,2,2
C_01_087,blood,3.600,2.000,6,2
G_03_14,bloom,2.522,5.650,7,5
J_02_104,blouse,2.800,2.750,0,2
E_02_96,blow,2.781,5.065,7,5
K_01_070,BLOW_CANDLE_1,0,0,0,1
K_02_022,BLOW_CANDLE_2,0,0,0,2
F_02_45,blow_mind,3.577,5.645,7,2
C_02_062,blue,4.630,1.074,2,2
J_03_088,blur,3.643,2.182,0,5
J_03_100,blush,2.810,3.727,0,5
J_01_105,board,4.500,1.320,0,2
D_01_055,boat,3.704,2.314,6,5
B_01_047,body,4.840,5.556,6,5
G_03_101,boil,4.308,3.043,7,5
K_03_054,BOIL_2,0,0,0,3
H_02_25,boiling_mad,4.321,2.696,2,3
F_01_89,bolt,1.250,3.121,7,2
F_02_55,bomb,2.870,3.968,6,5
C_03_015,bone,3.167,2.467,6,5
A_01_027,book,6.677,6.684,6,5
E_01_37,boomerang,1.762,3.538,6,1
C_03_019,boots,2.933,1.371,6,5
K_03_101,BOOTS_2,0,0,0,5
B_01_017,bored,5.800,1.370,2,2
K_03_122,BORED_2,0,0,0,1
B_03_055,borrow,4.960,1.433,7,5
B_02_052,boss,5.240,1.800,6,2
J_03_001,boston,4.345,1.409,0,2
H_01_76,both,5.815,2.333,1,3
H_01_40,bother,5.071,1.920,7,1
D_02_064,bottle,3.846,4.258,6,3
F_01_66,bottom_2,1.643,3.313,6,2
H_03_57,bounce,2.360,6.000,7,2
F_03_65,bow_1,2.593,4.667,6,5
G_02_63,bow_2,2.375,4.188,6,5
