Code,EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
C_02_024,rabbit,2.724,4.296,6,5
K_03_119,RABBIT_2,0,0,0,0
H_02_82,raccoon_1,3.000,4.625,0,5
F_02_75,race,5.296,3.000,7,5
K_02_121,RACECAR_TRACK,0,0,0,0
A_01_075,radio,2.581,3.595,6,2
E_03_89,rafting,1.900,3.688,7,2
A_03_061,rain,5.760,5.429,6,5
F_03_1,rainbow,4.037,5.344,6,2
E_03_19,raisin,1.895,1.313,6,2
D_03_021,rake,2.231,5.880,7,3
H_01_101,range,2.667,2.417,0,1
D_02_081,rat,2.630,1.500,6,2
A_01_089,razor,3.833,5.588,6,2
K_03_103,RAZOR_2,0,0,0,0
K_01_107,REACH,0,0,0,0
H_03_65,react,4.036,1.833,0,5
A_01_022,read,6.387,4.571,7,3
F_03_42,ready,6.370,1.939,2,5
G_01_71,real_sick,4.741,1.586,7,5
B_02_021,really,5.800,2.067,3,2
H_02_79,really_into,4.036,1.542,0,2
C_01_076,reason,5.433,2.867,6,2
H_03_90,recent_1,5.357,1.667,0,2
J_02_056,recent_2(tap),4.893,1.333,0,2
J_02_078,recite,3.852,3.042,0,2
G_01_24,record,3.000,3.250,7,5
B_03_089,recording,2.840,2.267,7,5
C_02_090,red,5.069,1.037,2,2
F_03_30,red_faced,3.889,2.091,2,2
E_01_42,reduce,4.914,5.000,7,1
E_03_36,reflect,5.300,3.167,7,2
G_01_1,refrigerator,1.913,3.400,6,5
H_01_62,refuse,5.750,2.857,0,2
F_01_21,register,5.222,1.969,7,3
J_01_067,regular,5.200,1.640,0,1
B_01_023,relationship,4.960,3.259,6,1
D_03_081,relax,4.885,3.480,7,5
K_02_032,RELAX_2,0,0,0,0
E_03_59,release(sameasFREEDOM),4.567,3.700,7,5
H_01_63,relief,5.500,3.630,0,5
B_03_029,religion,4.333,1.267,6,2
C_02_014,remember,5.700,1.370,7,2
H_03_38,remember_2,4.000,5.083,0,2
J_02_103,remind,4.900,1.958,0,3
B_03_004,remote_control,4.840,6.000,6,2
J_02_092,remove,4.467,4.125,0,3
J_03_007,replace,4.207,3.000,0,5
E_01_24,request,4.714,4.077,7,5
C_01_078,requirement,4.966,1.667,6,4
H_02_67,rescue,4.571,1.750,0,5
B_03_084,research,4.160,2.310,6,3
J_03_039,resent,5.241,2.000,0,2
J_01_084,resign(sameas'getoff'),4.000,2.960,0,3
G_03_30,resist,0.000,3.800,7,2
J_01_029,respect,5.500,2.480,0,5
B_01_018,responsibility,5.720,3.548,6,5
B_01_031,rest,5.375,3.963,7,5
J_03_043,rest_all_day,1.857,1.591,0,2
D_02_045,restaurant,5.889,1.290,6,2
E_03_3,restless,4.400,2.176,2,3
J_01_039,result,4.517,1.560,0,3
J_03_084,retire,3.815,1.273,0,5
H_02_28,retrieve,3.786,3.583,0,5
D_03_088,revenge,2.560,1.792,6,2
D_03_016,rhino,1.917,4.783,6,2
K_03_116,RHINO_2,0,0,0,0
K_01_088,RHINO_3,0,0,0,0
K_01_122,RIBBON_AWARD,0,0,0,0
F_03_103,rich,4.231,2.938,2,3
F_03_23,ride,4.963,3.636,7,3
J_03_026,ride_2(vb),3.724,4.409,0,3
C_01_065,right_1,6.000,2.567,2,5
C_01_070,right_2,4.862,3.533,5,2
J_03_095,right_3(legal),5.276,1.636,0,1
A_03_053,ring,3.174,6.857,6,3
F_02_26,risk(take_risk),4.636,1.967,7,5
A_03_035,river,3.200,4.476,6,2
F_02_66,river_2,3.154,3.567,7,5
F_02_83,road,5.000,4.323,6,5
J_03_062,roar,2.429,3.273,0,2
K_02_094,ROAR_2,0,0,0,0
J_02_038,roast,1.667,5.292,0,5
G_02_93,rob,2.808,4.333,7,5
F_01_34,robot,2.926,6.424,6,5
A_01_030,rock,3.700,4.289,6,1
E_01_16,rocket_1,1.886,4.038,6,3
E_02_88,rocket_2,2.063,5.258,7,3
E_03_24,rocking_chair_1,1.926,2.700,6,5
G_01_10,rocking_chair_2,2.520,2.500,6,5
H_03_36,role,4.071,2.667,0,3
E_03_11,roll,3.400,6.594,7,5
H_03_34,roll_up_sleeves,4.036,6.625,0,2
D_02_033,rollerblading,2.111,3.900,6,5
A_02_074,rollerskating,2.074,1.933,6,5
F_01_39,roof,2.769,6.606,6,5
A_01_024,room,5.742,4.154,6,5
H_03_73,roommate,3.857,1.625,0,5
A_03_051,rooster,2.667,4.381,6,2
D_03_012,rope,2.083,3.680,6,1
G_03_24,rose,3.630,1.400,6,2
F_01_28,rough,4.185,2.636,2,3
G_03_47,row,2.500,3.000,7,5
B_01_026,rude,3.750,1.444,2,3
G_02_60,ruin,4.778,2.000,7,1
F_02_91,rule,4.889,1.774,6,3
G_02_86,ruler,4.111,2.258,6,5
B_03_015,run,5.200,1.667,7,4
J_01_100,run_2(fists),3.533,6.280,0,5
K_03_096,RUN_FAUCET,0,0,0,0
G_01_77,run_out_of,5.667,2.200,7,3
E_03_54,rush,4.400,3.400,7,5
D_02_091,RUSSIA,3.111,1.613,4,2
B_02_053,sad,5.240,5.800,2,5
G_01_85,safe,5.037,2.000,2,5
D_01_074,sail,1.652,2.303,7,2
K_01_048,SAIL_2,0,0,0,0
F_02_94,sailboat,2.615,2.903,6,3
A_02_061,salad,4.704,3.667,6,5
B_01_069,salt,4.920,1.037,6,1
E_02_100,salt_shaker,4.688,6.500,6,2
B_02_009,same_1,5.840,3.621,5,2
B_02_013,same_2,3.400,1.767,5,5
J_02_081,same_same,4.833,1.875,0,5
H_02_21,same_time,4.607,1.875,0,5
A_02_004,sandals,4.667,2.133,6,3
A_01_015,sandwich,3.677,2.538,6,3
K_02_086,SANDWICH_2,0,0,0,0
K_03_072,SANDWICH_3,0,0,0,0
K_01_015,SANDWICH_4,0,0,0,0
F_03_19,santa,3.333,3.394,6,5
E_01_5,sarcastic,4.571,1.769,2,5
D_01_028,saturday,5.889,1.000,4,2
F_01_54,sauce,4.259,4.382,6,3
F_03_88,sausage,3.280,4.063,6,5
G_03_61,save,5.154,1.810,7,3
G_02_74,save_money,5.333,2.750,7,1
D_03_060,saw,1.571,5.875,7,2
K_02_007,SAW_2,0,0,0,0
G_03_15,saxophone,1.963,5.450,6,5
C_03_039,scan,4.433,4.032,6,3
F_03_89,scar_memory,4.148,4.500,7,2
B_02_014,scarcely,4.960,1.500,3,5
B_03_079,scared,4.400,4.967,2,5
A_03_013,scarf,2.240,5.905,6,4
K_03_085,SCARF_2,0,0,0,0
K_01_086,SCARF_3,0,0,0,0
K_02_120,SCARF_4,0,0,0,0
A_03_001,schedule,5.920,2.857,6,1
C_03_089,school,6.400,1.194,6,1
A_02_011,science,4.852,1.333,6,5
A_01_020,scientist,3.516,1.410,6,5
A_01_038,scissors,4.548,6.947,6,2
H_01_8,scold,4.250,6.778,0,2
J_03_044,scoop,2.481,6.545,0,3
H_01_60,score,4.536,3.000,0,3
H_02_99,scout,1.524,2.917,0,2
H_02_84,scratch,3.370,5.292,0,3
E_03_27,scream,3.833,4.774,7,2
D_02_023,screwdriver,2.923,5.567,6,3
K_03_041,SCREWDRIVER_2,0,0,0,0
K_01_014,SCREWDRIVER_3,0,0,0,0
H_03_81,script,3.280,3.250,0,3
C_03_084,scroll_down,3.423,5.389,6,2
E_02_86,scrub,4.258,5.933,7,3
J_01_028,sculpt,3.600,3.000,0,3
E_03_45,sculpture,3.767,1.867,6,3
G_01_57,seal,2.375,4.690,6,5
C_03_076,secret,4.200,2.306,6,2
A_03_059,secretary,4.240,1.667,6,2
C_02_030,see,6.333,4.630,7,2
J_03_004,see_see,5.690,4.136,0,2
F_01_43,seem,5.148,1.909,7,2
D_03_087,select,5.038,4.240,7,2
H_01_15,self,3.964,4.107,0,2
J_03_024,sell,4.966,1.682,0,5
G_03_99,senate,3.846,1.739,6,2
E_02_9,send,3.844,3.967,7,2
H_03_97,senior_citizen,4.357,1.500,0,2
J_02_091,sensitive,5.000,1.667,0,2
H_01_25,sentence,4.571,2.680,0,5
E_02_8,sequence,4.161,3.900,6,5
B_01_071,serious,5.125,3.154,2,2
E_02_4,serve,4.531,2.621,7,5
K_02_061,SERVE_2,0,0,0,0
B_03_021,set_up,4.160,3.065,7,3
F_03_87,seven,5.296,2.750,1,2
J_01_099,several,4.393,2.160,0,2
B_02_073,sew,2.480,5.867,7,1
G_01_62,shake_1,1.667,4.966,7,4
F_03_48,shake_2,2.760,5.563,7,5
J_03_105,shakespeare,2.250,1.909,0,2
D_03_008,shame,2.231,2.217,6,5
H_01_66,shame_on_you,3.357,5.542,0,1
D_01_035,shampoo,4.481,4.861,6,5
F_01_5,shape,3.444,4.788,6,5
E_02_101,share,5.688,2.567,7,1
E_03_23,shark_1,3.103,5.226,6,2
E_02_71,shark_2,2.323,4.517,6,1
G_01_55,sharp,3.815,3.000,2,3
H_01_105,sharp_2,3.760,2.333,0,3
H_03_60,SHARPEN,2.500,5.250,0,1
K_03_097,SHARPEN_2,0,0,0,0
K_01_109,SHARPEN_3,0,0,0,0
B_03_017,shave,2.500,6.129,7,2
J_02_018,shave_2(s-hand),2.208,5.375,0,1
H_03_18,shave_3,3.667,6.042,0,2
K_02_043,SHAVE_4,0,0,0,0
K_03_114,SHAVE_5,0,0,0,0
A_02_010,sheep,3.222,1.767,6,2
E_02_60,shelf,3.875,4.600,6,5
E_01_50,shield,4.571,4.120,6,2
D_01_091,shiny,3.259,2.353,2,3
A_01_028,shirt,2.867,5.923,6,2
K_01_108,SHIRT_2,0,0,0,0
D_01_023,shocked,4.037,4.833,2,2
A_02_057,shoes,6.074,1.533,6,5
J_01_024,shoot,3.133,6.520,0,6
K_02_114,SHOOT_2,0,0,0,0
F_01_49,shooting,3.593,6.667,7,5
C_03_075,shop_1,5.067,2.314,7,3
D_03_058,shop_2,6.231,1.500,6,5
H_02_92,short_2,3.821,4.875,0,2
H_01_49,short_distance,5.036,2.520,0,2
J_02_087,short_word,2.263,4.583,0,5
A_01_037,shorts,4.100,3.686,6,5
E_01_13,shot,3.743,4.769,7,2
G_02_79,should,6.111,1.875,7,2
A_02_055,shoulder,3.704,6.700,6,2
K_03_006,SHOULDER_2,0,0,0,0
K_01_078,SHOULDER_3,0,0,0,0
J_03_005,shout,4.034,4.773,0,2
K_02_084,SHOUT_2,0,0,0,0
A_01_088,shovel,3.167,6.314,6,5
K_03_008,SHOVEL_2,0,0,0,0
C_01_050,show,5.333,2.500,7,3
A_02_001,shower,5.593,5.367,6,2
A_01_065,shrimp,3.357,2.351,6,2
G_03_26,shut_out,5.148,4.350,7,5
B_01_040,shy,3.880,2.111,2,2
B_01_072,sick,5.320,3.692,2,5
J_03_055,side,4.000,4.818,0,2
F_01_87,sideburns,1.542,5.667,6,5
E_03_50,sign,5.900,2.333,6,5
D_02_031,sign_language,5.222,2.400,6,5
H_03_94,sign_paper,4.714,2.333,0,3
F_01_69,signature,5.481,2.313,6,3
F_03_69,signing_fluently,5.556,1.839,7,5
B_01_090,silly,5.400,2.741,2,2
D_03_091,silver,2.077,1.167,6,2
D_03_014,since,5.115,1.458,5,5
D_03_075,sing,3.000,2.560,7,2
H_01_18,single,4.607,2.481,0,2
J_01_061,single_out,5.100,1.560,0,3
E_02_42,sink,2.406,3.467,7,3
G_03_65,siren,1.789,5.450,6,5
D_03_050,sister,5.385,1.208,6,1
D_03_034,sit,5.615,3.560,7,3
H_03_66,situation,4.857,1.333,0,3
G_03_34,six,5.074,2.550,1,2
C_01_090,skate,2.800,2.433,7,5
C_02_052,skateboarding,1.893,4.630,7,3
K_01_079,SKATEBOARDING_2,0,0,0,0
K_02_110,SKATEBOARDING_3,0,0,0,0
D_02_027,ski,3.148,1.161,6,5
K_03_033,SKI-CA,0,0,0,0
G_02_38,skill,5.704,1.688,2,3
F_01_91,skin,4.923,4.242,6,2
A_01_046,skirt,3.567,5.256,6,5
G_01_32,skunk,3.280,2.345,6,2
E_03_94,slave,2.833,3.063,6,5
F_01_10,sled_1,2.056,2.576,6,1
G_02_27,sled_2,2.000,2.031,6,5
B_03_037,sleep,6.600,4.833,7,2
J_01_035,slice,3.346,5.480,0,3
K_01_028,SLICE_2,0,0,0,0
K_02_057,SLICE_3,0,0,0,0
K_03_067,SLICE_4,0,0,0,0
F_01_100,slide,3.192,6.030,7,2
K_01_058,SLIDE_2,0,0,0,0
F_02_69,slingshot,1.714,4.226,6,6
J_02_030,slip,3.276,4.500,0,1
K_02_033,SLIP_2,0,0,0,0
E_01_62,slipper,3.057,3.480,6,3
B_02_041,slow,4.640,2.033,2,1
D_01_030,small,5.000,4.083,2,5
D_02_075,smart,5.222,3.903,2,2
E_02_49,smell,5.406,5.133,6,2
F_03_26,smell_money,2.731,5.333,7,2
D_01_031,smile,4.074,6.636,6,5
K_03_023,SMILE_2,0,0,0,0
H_01_46,smoke(fire),3.111,3.929,0,3
C_03_087,smoking,3.433,6.806,7,2
H_02_101,smooth,4.750,2.250,0,5
G_01_67,snail,1.765,4.069,6,3
A_01_043,snake,3.400,4.526,6,2
F_02_17,snap,4.692,6.645,7,2
K_01_080,SNAP_STICK,0,0,0,0
F_01_57,sneak_adventure,4.704,3.485,7,3
C_03_066,sneeze,2.533,6.806,7,2
K_02_023,SNEEZE_2,0,0,0,0
B_03_042,snob,3.920,3.967,6,2
E_01_102,snorkel,0.000,4.520,7,2
A_01_057,snow,3.097,4.053,6,2
K_03_081,SNOW_2,0,0,0,0
K_01_025,SNOWBOARD,0,0,0,0
G_03_73,snowman,2.692,1.300,6,5
E_03_5,snowsuit,2.000,2.455,6,5
G_01_69,so,5.630,2.633,5,2
A_01_084,soap,5.097,2.457,6,3
E_03_78,soap_2,2.048,4.161,7,2
A_03_004,soccer,3.800,1.762,6,1
F_03_32,soccer_2,4.346,3.545,7,3
H_03_30,social,5.286,2.542,0,5
H_01_21,socialize,3.348,3.778,0,5
H_01_2,society,3.630,2.222,0,5
A_03_033,socks,5.120,1.524,6,5
C_03_030,soda,4.533,2.361,6,3
G_03_6,sofa,3.963,1.800,6,5
E_03_13,soft,4.467,2.719,2,5
G_01_30,softball,4.741,4.448,6,5
B_01_020,some,5.625,2.259,5,1
J_02_012,somersault,3.034,5.500,0,5
K_02_118,SOMERSAULT_2,0,0,0,0
K_03_064,SOMERSAULT_3,0,0,0,0
G_01_9,something,6.000,2.167,5,2
E_02_38,sometimes,5.813,2.133,5,3
B_02_086,son,4.880,2.200,6,2
G_01_4,soon,6.259,1.833,2,2
J_02_098,soon_2(h),6.767,1.458,0,2
H_03_23,soon_3,3.963,1.458,0,2
G_02_83,sophisticated,4.370,2.355,2,2
J_01_107,sophomore,3.241,1.400,0,3
C_01_020,sorry,5.633,3.633,2,2
H_02_96,sound,4.679,5.625,0,2
A_01_039,soup,4.548,5.333,6,3
F_03_60,sour,3.926,3.094,2,2
C_02_029,south,4.000,1.222,6,2
H_01_75,sow,3.704,2.250,0,2
H_03_93,space,4.741,1.417,0,3
J_03_074,spaceship,1.250,1.182,0,2
A_01_042,spaghetti,3.935,2.718,6,5
G_01_94,spain,3.333,1.700,6,2
B_01_076,speakers,2.250,4.654,6,5
H_01_68,special_1,3.500,1.880,0,3
J_02_020,special_2(f),5.100,2.250,0,4
H_01_38,specialist,4.250,1.800,0,1
E_02_91,specific,4.406,2.500,2,1
E_01_17,spend,3.371,1.577,7,5
E_02_83,spend_lots_of_money,3.645,2.310,7,5
J_03_036,spicy,4.310,3.182,0,2
D_03_067,spider,3.192,5.792,6,5
G_01_37,spill,4.148,4.107,7,5
K_01_064,SPILL_2,0,0,0,0
J_02_085,spin(weave),1.100,4.750,0,5
F_02_30,spit_out,3.630,5.133,7,2
K_02_037,SPLASH-CA,0,0,0,0
E_02_24,spontaneous,4.500,2.700,2,5
A_02_037,spoon,3.440,3.267,6,1
C_03_035,sports,4.333,1.364,6,5
G_01_2,spot_something,3.680,4.233,7,2
G_03_12,spread,4.889,5.900,7,5
K_03_080,SPREAD_2,0,0,0,0
K_01_083,SPREAD_3,0,0,0,0
E_03_74,spring,4.400,3.226,6,3
J_01_060,square,4.100,6.600,0,5
J_01_062,square_idiot,5.100,1.680,0,2
H_03_19,squeeze,2.000,3.792,0,2
C_03_020,squirrel,2.800,2.917,6,1
E_02_16,sshh,4.438,6.774,7,2
J_01_096,stack,2.476,5.720,0,3
K_02_102,STACK_2,0,0,0,0
K_03_069,STACK_3,0,0,0,0
K_01_019,STACK_4,0,0,0,0
G_01_86,stadium,2.120,2.000,6,5
C_01_071,staff,3.967,1.333,6,2
A_03_048,stairs,5.400,3.810,6,2
C_03_063,stamp,2.762,3.086,6,1
G_02_98,stamp_1,6.815,6.258,7,3
F_03_93,stamp_2,4.963,2.813,7,3
E_02_11,stand,5.219,4.967,7,3
K_02_081,STAND_2,0,0,0,0
J_03_070,stand_up,5.241,3.909,0,3
G_02_5,stapler,3.222,6.000,7,2
A_03_087,star,5.083,2.476,6,5
B_03_010,starbucks,5.320,1.100,4,5
G_01_34,stare,4.630,4.966,7,2
A_01_047,stars,4.323,3.579,6,5
B_01_011,start,5.760,3.871,7,3
F_01_86,state,1.917,1.594,6,3
F_02_50,stay,5.815,4.000,7,5
J_02_060,stay_awake_24hrs,3.733,2.500,0,5
D_02_041,steak,2.261,1.548,6,3
C_02_019,steal,3.067,2.704,7,2
J_01_011,steam,2.087,4.080,0,5
E_01_70,step,4.114,5.320,7,1
D_03_028,stethoscope,1.333,4.458,6,5
K_03_086,STETHOSCOPE_2,0,0,0,0
K_01_075,STETHOSCOPE_3,0,0,0,0
K_02_031,STETHOSCOPE_4,0,0,0,0
F_02_89,sticky,4.630,5.419,2,5
G_02_85,still,5.667,2.067,3,5
H_02_35,stimulate,4.143,2.000,0,3
H_03_22,sting,2.889,5.500,0,3
H_01_64,stink,4.214,6.852,0,2
D_03_055,stir,3.423,6.739,7,3
E_01_61,stockings,1.773,2.800,6,5
C_03_054,stomach,3.586,5.972,6,2
D_01_010,stop,5.704,3.595,7,1
F_01_67,stopwatch,2.333,5.156,6,2
E_01_15,story,4.714,1.346,6,5
J_01_007,story_2(b),4.933,1.760,0,5
H_03_7,story_3,4.571,1.333,0,5
E_01_81,straight,5.571,6.160,2,2
K_03_045,STRAIN_1,0,0,0,0
K_01_076,STRAIN_2,0,0,0,0
C_03_018,strange,5.000,1.833,2,2
J_01_093,strangle,2.714,5.440,0,5
G_01_92,straw,3.462,5.258,6,6
A_01_068,strawberry,2.524,1.595,6,2
K_02_017,STRAWBERRY_2,0,0,0,0
K_03_100,STRAWBERRY_3,0,0,0,0
K_01_009,STRAWBERRY_4,0,0,0,0
A_01_062,street,5.290,4.368,6,5
B_02_075,stress,5.125,1.600,6,4
K_03_126,STRETCH,0,0,0,0
K_02_108,STRETCH,0,0,0,0
K_03_078,STRETCH-CA,0,0,0,0
C_01_047,strict,3.800,1.800,2,2
F_03_54,string,4.259,4.844,6,5
H_01_85,stripe,3.429,4.593,0,2
G_03_27,strong,4.926,6.550,2,5
H_01_35,structure,4.250,1.857,0,5
H_03_102,struggle,5.000,2.250,0,5
B_03_086,stubborn,4.640,2.367,2,2
E_01_19,stuck,5.543,3.077,2,2
A_02_012,student,4.704,1.900,6,3
G_01_90,study,5.444,1.724,7,3
J_02_079,stumble,2.481,3.833,0,5
C_01_058,stupid_1,4.100,3.767,2,2
C_02_047,stupid_2,4.633,4.161,2,2
H_02_55,submit,0.000,3.708,0,2
B_02_027,subtract,3.960,3.300,7,3
F_01_12,suck,3.240,4.063,7,2
K_01_006,SUCK_THUMB,0,0,0,0
G_01_103,suit,4.593,2.367,6,5
D_03_041,summarize,4.538,3.040,7,5
B_02_037,summer,4.958,1.433,6,2
K_02_075,SUMMON,0,0,0,0
C_02_003,sun,4.633,4.593,6,2
H_02_13,sunbathe,3.100,2.667,0,2
K_03_034,SUNBATHE_2,0,0,0,0
J_02_001,sunday_2(8),1.000,1.542,0,1
H_03_89,sunrise,3.893,5.458,0,2
B_02_087,sunset,3.440,4.300,6,2
J_02_065,superior,4.133,3.083,0,1
J_01_018,supervise,4.467,1.520,0,5
J_02_010,supervisor,3.967,1.500,0,5
G_01_52,support_1,5.963,2.000,6,1
F_03_66,support_2,4.769,4.194,7,5
C_03_044,sure,5.400,2.914,2,2
A_01_048,surf,3.032,2.923,7,3
A_02_007,surgeon,3.148,1.467,6,3
H_03_46,surgery,4.071,3.958,0,3
B_01_013,surprise,4.583,4.481,6,5
D_03_092,sushi,4.269,1.320,6,3
C_03_012,suspect,3.967,3.222,6,2
H_01_16,suspend,4.357,3.000,0,5
E_03_77,suspenders_1,2.143,3.969,6,5
E_01_28,suspenders_2,2.286,4.440,7,5
B_02_019,swallow,3.760,5.567,7,2
J_02_016,swear_in,2.800,6.625,0,1
H_02_51,sweat,4.036,4.130,0,2
D_02_092,sweater,3.654,2.516,6,5
K_01_008,SWEATER_2,0,0,0,0
K_02_090,SWEATER_3,0,0,0,0
F_02_42,sweatpants,1.714,2.400,6,5
E_01_18,sweatshirt,1.800,2.654,6,5
D_01_086,sweep,3.259,4.600,7,1
J_03_029,sweet,5.310,2.136,0,2
H_02_5,sweetheart,3.556,3.000,0,5
E_03_53,swim,4.200,4.033,7,5
K_03_106,SWIM_2,0,0,0,0
A_02_018,swing,1.800,6.290,7,2
F_02_85,swing_2,3.815,5.645,7,5
F_01_9,switzerland,2.231,2.667,6,2
E_03_101,sword,2.033,5.875,6,2
D_01_090,sympathy,4.222,2.233,6,5
H_01_61,system,4.643,2.080,0,5
A_03_025,table,6.000,4.238,6,2
K_02_126,TABLET,0,0,0,0
D_01_083,tail,1.875,4.833,6,2
K_01_089,TAIL_2,0,0,0,0
G_01_93,take,5.037,5.323,7,2
F_03_71,take_care,5.444,2.091,7,5
F_03_94,take_notes,4.815,3.938,7,3
H_03_50,take_off,0.000,2.542,0,1
F_01_20,take_off,4.640,5.545,7,3
F_01_45,take_pill,3.217,3.970,7,2
C_01_008,talk,5.333,2.800,7,2
H_01_23,talk_2,3.038,6.704,0,2
H_02_46,talk_dirty,0.000,1.565,0,3
B_03_024,tall_1,4.840,4.379,2,3
B_01_030,tall_2,5.000,5.519,2,2
F_02_72,tan,4.222,1.903,2,2
E_01_9,tanktop_1,3.719,3.615,6,5
G_01_17,tape,2.955,3.100,6,1
J_01_081,taste,5.867,4.240,0,2
A_02_052,tea,4.556,4.433,6,3
D_02_052,teach,4.609,1.452,7,5
K_02_055,TEACH_2,0,0,0,0
A_02_033,teacher,6.074,1.433,6,5
E_01_71,team,5.714,1.880,6,5
C_02_016,tear,2.967,6.889,7,2
G_03_9,tear_rip,4.185,6.600,7,5
K_03_050,TEAR_RIP_2,0,0,0,0
D_02_090,tease,5.556,1.800,7,1
E_03_17,technology,6.200,1.219,6,3
H_02_39,teenager,3.750,1.174,0,2
D_01_040,teeth,4.519,6.667,6,2
A_02_040,telephone,5.481,7.000,6,2
C_02_013,tell,5.933,5.667,7,2
F_02_97,temper_blow_up,4.333,1.774,7,2
G_03_67,temporary,5.115,1.500,2,1
C_01_082,temptation,3.552,1.267,6,2
G_03_32,tend_your,5.259,1.750,7,2
G_03_89,tendency,0.000,2.045,6,5
A_01_053,tennis,2.387,5.000,6,2
E_02_12,tent,3.813,3.467,6,5
D_01_060,test,4.741,1.529,6,5
B_03_054,text,5.435,3.967,7,5
F_02_2,than,2.474,1.355,5,1
H_02_53,thank_you,6.571,5.130,0,2
D_01_047,thanksgiving,2.481,1.429,6,2
C_03_059,that,5.500,3.000,5,2
D_01_052,theater,3.963,1.657,6,5
F_01_31,then,4.444,2.545,5,3
J_03_042,theory_1(t),3.379,2.818,0,2
J_02_031,theory_2,1.000,0,0,2
H_03_88,therapy,3.893,1.375,0,3
D_02_060,there,5.963,6.258,3,2
D_02_012,thermometer,4.577,2.645,6,1
G_03_95,these,4.720,3.773,5,2
E_01_44,they,5.114,3.760,5,2
B_03_019,thief_1,1.588,1.500,6,2
B_01_087,thief_2,3.680,1.519,7,2
C_02_002,thin,3.333,1.704,2,5
B_03_043,things,4.840,2.300,6,2
C_03_053,think,5.867,6.583,7,2
K_03_120,THINK_CHIN,0,0,0,0
F_02_87,think_connect,4.259,3.226,7,2
G_02_15,think_expand,5.259,4.063,7,2
G_03_79,think_obsess,4.692,1.950,7,2
D_02_054,think_over,2.731,4.633,7,2
G_01_39,think_penetrate,4.481,3.759,7,2
J_01_090,think_penetrate,3.579,2.880,0,2
K_01_120,THINK_PONDER.m4v,0,0,0,0
G_01_45,think_smart,4.296,3.100,7,2
F_02_88,third_1,4.481,4.065,1,2
J_02_072,third_2,4.400,3.375,0,2
C_03_071,thirsty,5.300,4.139,2,2
F_01_35,this/it,6.519,5.394,5,2
F_02_103,those,4.889,4.903,5,2
G_01_51,thought_disappear,5.148,3.393,7,2
B_01_044,three,6.080,6.667,1,2
G_02_70,thrilled,6.000,2.613,2,5
C_03_081,throw,3.600,5.514,7,2
K_01_068,THROW_2,0,0,0,0
E_02_70,throw_away,4.250,5.667,7,2
F_03_15,thunder,4.000,3.606,6,1
B_02_045,thursday,5.042,1.100,4,2
E_02_29,ticket,5.000,2.448,6,3
H_01_73,tickle,2.000,5.370,0,5
A_01_013,tie,2.143,4.577,6,2
K_02_029,TIE_2,0,0,0,0
K_03_035,TIE_UP_1,0,0,0,0
K_01_043,TIE_UP_2,0,0,0,0
A_01_050,tiger,3.097,3.711,6,5
B_02_080,time,6.375,6.700,6,2
H_02_61,time_progress,4.500,3.391,0,1
J_01_020,time_to_time,5.167,2.880,0,2
K_02_063,TIMEOUT,0,0,0,0
K_03_019,tiny,0,0,0,0
J_03_006,tiny,2.577,4.091,0,5
D_02_050,tired,6.538,3.806,2,5
G_01_43,tired_of,5.815,0,3,2
G_02_32,tissue,5.000,4.469,6,2
E_03_86,to,4.400,2.750,5,1
F_01_26,to_a_goal,5.037,2.970,3,2
D_02_080,toast,4.185,1.387,6,3
A_02_049,tobacco,2.370,1.767,6,2
E_02_6,today,6.406,2.100,6,5
G_01_97,together,4.615,4.767,6,5
A_02_038,toilet,5.963,1.533,6,2
D_02_087,tomato,4.926,1.133,6,2
F_02_40,tomorrow,6.346,1.516,6,2
G_03_57,tongue,2.000,4.227,6,2
E_02_15,too_much,5.063,4.267,2,5
D_03_073,toothbrush,5.269,6.304,6,2
K_03_058,TOOTHBRUSH-CA,0,0,0,0
H_01_65,top,4.393,4.760,0,1
H_01_103,topic,4.786,2.680,0,5
A_02_047,tornado,1.815,2.533,6,5
J_03_009,toss,2.667,5.409,0,2
H_02_37,toss_out,4.148,5.391,0,5
H_01_71,total,4.250,3.444,0,5
G_03_63,touch,5.346,6.238,7,3
H_03_10,tough,5.000,1.833,0,1
B_03_031,tournament,3.960,1.667,6,5
H_01_86,tow,1.923,5.259,0,1
K_01_098,TOW_2,0,0,0,0
K_02_010,TOW_3,0,0,0,0
F_01_7,towel,4.148,5.273,6,5
E_01_64,toy,6.029,1.600,6,5
J_01_056,toy_2,2.783,1.400,0,2
H_03_070,TOY_3,4.286,1.667,0,5
H_01_42,tractor,2.579,4.704,0,5
J_03_023,tradition,3.897,1.227,0,5
B_01_043,traffic,4.000,1.926,6,5
B_03_003,train,4.600,1.400,6,1
J_01_032,train_2(practice),3.931,1.760,0,3
J_03_028,transfer,4.552,2.000,0,2
J_01_082,transgender,4.267,1.240,0,2
D_01_080,translate,4.296,2.486,7,5
A_01_035,trash,4.871,1.444,6,2
B_02_089,travel,4.640,2.100,7,2
A_01_002,tree,5.143,4.280,6,2
J_02_080,triangle,3.067,6.792,0,2
K_03_111,TRIM_1,0,0,0,0
K_01_062,TRIM_2,0,0,0,0
K_02_020,TRIP_1,0,0,0,0
K_03_102,TRIP_2,0,0,0,0
J_02_077,triple,3.800,2.708,0,3
D_02_086,trophy,3.000,1.581,6,5
