SignFrequency(M),Iconicity(M),LexicalClass,SignType
0,0,0,3
1.500,2.552,3,6
4.963,1.667,6,4
5.444,3.484,6,3
4.867,3.958,0,4
5.100,4.320,0,3
4.633,3.167,0,3
4.800,5.500,1,4
3.793,4.310,3,4
4.500,3.760,0,3
5.462,4.182,3,4
3.438,4.267,5,3
4.615,2.742,5,4
4.926,1.667,5,2
4.036,2.292,5,4
6.077,3.120,5,6
4.960,3.267,3,1
6.037,2.818,6,3
5.077,4.300,6,4
4.296,2.833,6,3
5.393,1.792,6,3
4.433,4.120,0,4
5.143,2.846,5,4
4.630,2.114,5,2
2.850,5.135,3,6
0,0,0,2
4.185,4.100,3,3
2.000,3.692,3,4
0,0,0,4
4.103,4.818,0,4
4.600,3.333,0,2
5.138,2.438,3,2
2.591,2.656,3,4
3.500,4.815,3,3
4.840,1.889,3,2
4.556,2.500,5,2
3.900,1.028,3,3
4.133,1.233,3,3
3.429,2.889,5,6
3.677,2.778,3,3
1.278,1.788,3,4
3.926,3.774,5,6
3.867,1.267,3,3
0,0,0,3
5.143,3.417,6,3
3.900,4.750,0,2
0,0,0,2
2.296,2.914,5,2
0,0,0,4
2.962,6.360,6,3
4.407,1.806,3,2
0,0,0,2
5.308,2.200,5,4
4.560,2.033,3,2
0,0,0,4
5.333,4.281,5,2
2.519,5.441,3,4
1.967,6.467,3,3
4.179,4.800,5,6
0,0,0,3
2.500,6.120,0,3
3.259,5.333,3,4
0,0,0,4
4.440,6.567,5,4
0,0,0,4
0,0,0,4
0,0,0,3
5.786,1.821,3,2
5.742,2.897,3,2
5.852,1.625,6,3
1.818,3.520,0,3
0,0,0,3
2.619,4.625,6,4
2.444,4.900,3,4
0,0,0,4
0,0,0,2
3.241,6.333,5,3
4.444,5.469,5,2
5.200,3.267,6,3
4.500,1.533,6,3
4.778,2.758,1,3
3.960,3.400,3,2
3.185,2.400,3,2
4.250,1.586,3,2
5.600,1.962,6,4
5.483,3.727,0,4
1.643,6.389,3,3
5.222,2.310,3,4
5.500,2.742,3,3
4.733,2.700,3,3
6.769,4.061,6,3
2.167,4.000,6,3
5.429,3.185,3,3
2.048,3.417,0,4
4.484,2.568,3,4
4.240,2.300,5,3
4.962,1.870,5,4
3.444,3.906,5,3
0,0,0,4
0,0,0,4
5.296,1.688,5,3
2.792,1.773,5,4
3.567,4.500,6,2
3.360,5.381,3,4
3.200,3.136,5,3
4.963,1.625,3,1
4.571,4.480,5,2
4.167,2.280,0,4
2.130,1.583,3,3
4.786,2.875,5,4
5.480,2.259,6,3
4.593,1.774,3,2
4.500,2.000,3,1
3.586,3.955,0,4
2.632,4.417,6,4
2.677,3.923,3,3
0,0,0,3
4.000,2.839,5,4
3.968,6.583,3,3
4.567,1.630,3,4
4.786,1.667,5,4
5.000,3.448,5,4
4.556,5.097,3,2
2.917,1.810,3,3
4.241,2.091,0,2
4.630,1.606,3,4
4.000,3.267,5,4
4.690,2.273,0,6
2.714,2.480,5,2
3.355,3.378,3,3
0,0,0,4
2.613,1.816,3,2
3.407,3.300,3,4
3.222,6.129,5,3
3.926,2.333,3,2
4.346,2.839,5,4
5.517,3.625,6,4
4.345,1.560,0,3
0,0,0,2
3.556,6.469,5,4
3.400,2.920,0,4
3.400,2.100,3,3
4.846,3.048,3,3
4.655,2.417,0,3
2.333,3.564,3,3
0,0,0,3
3.633,5.400,0,2
0,0,0,2
0,0,0,2
4.185,2.143,3,4
5.533,2.750,6,3
5.200,2.333,3,3
3.741,3.000,5,2
5.296,2.600,5,3
4.786,4.560,5,4
5.767,2.172,5,2
5.444,3.152,5,3
3.167,1.200,2,3
0.000,3.364,5,6
5.200,3.000,5,4
0.000,4.636,0,2
4.655,2.818,0,4
2.370,4.065,5,2
4.563,4.700,5,4
4.100,2.933,3,4
3.214,4.875,6,3
6.400,1.885,5,4
4.130,3.810,3,3
0,0,0,3
5.036,3.375,5,2
6.074,5.030,5,4
6.258,1.737,3,3
0,0,0,3
5.167,1.583,0,3
4.500,1.750,3,3
3.333,1.222,3,3
2.500,5.952,3,3
0,0,0,3
0,0,0,3
4.833,3.840,0,4
2.533,3.880,0,4
5.538,3.450,5,3
5.033,2.080,0,3
6.133,5.774,5,4
6.111,5.242,5,3
5.840,3.433,5,3
5.714,3.833,6,3
6.031,5.267,5,4
3.259,3.000,3,4
4.273,2.966,3,4
6.320,3.619,3,6
4.323,1.108,3,3
4.857,3.250,4,2
5.440,2.185,5,3
4.615,6.800,1,3
3.821,5.917,6,6
3.138,2.667,5,4
2.308,5.484,5,4
4.111,5.226,5,4
0,0,0,3
2.500,5.042,0,4
2.556,4.121,3,3
4.741,5.000,5,2
2.286,3.417,3,4
2.296,5.000,3,4
4.583,3.233,3,3
4.720,5.048,3,4
4.655,2.045,0,4
3.333,2.406,3,4
0,0,0,3
2.808,4.419,3,2
6.348,7.000,3,3
0,0,0,3
3.038,4.000,5,3
5.813,2.767,5,4
4.333,5.500,5,4
1.875,2.611,5,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
3.417,3.000,3,3
2.000,6.048,3,4
3.967,1.639,6,3
5.593,1.875,6,3
3.333,3.400,3,3
3.370,4.500,3,3
0,0,0,3
4.185,2.875,6,2
4.963,4.333,6,3
1.500,3.625,3,3
3.296,0,3,2
4.296,2.710,5,4
5.222,2.645,1,6
4.179,2.417,1,4
2.846,2.292,3,3
0,0,0,3
2.704,6.833,3,3
4.040,1.586,6,2
2.880,6.382,3,4
4.207,1.618,5,2
3.867,6.528,3,4
4.241,4.138,5,4
3.600,1.417,3,2
3.640,3.810,3,2
5.000,2.781,3,2
4.077,2.375,3,3
3.100,1.933,3,4
5.630,2.000,6,6
5.615,2.781,5,6
6.840,6.100,5,3
6.680,5.867,5,3
1.917,3.129,3,4
2.889,4.563,3,6
3.852,1.517,5,4
3.154,1.844,5,4
4.000,1.969,3,2
5.440,1.571,3,4
2.059,6.154,5,3
2.200,3.194,3,3
2.276,2.222,2,3
4.379,1.583,0,3
5.333,2.680,0,6
3.148,1.300,3,4
0,0,0,4
4.231,1.875,3,3
4.138,1.360,0,2
3.259,5.500,3,3
2.720,4.094,3,2
4.519,3.950,3,2
0,0,0,2
5.857,4.560,4,3
5.292,1.333,3,2
3.700,3.667,5,4
4.960,2.733,3,4
1.407,2.250,3,3
4.926,2.063,3,2
4.000,2.233,6,2
2.900,5.400,0,4
5.514,4.458,5,6
4.406,2.133,3,4
5.111,1.688,3,3
2.200,2.630,3,2
4.686,1.192,5,4
3.480,1.857,3,6
4.645,1.026,3,6
5.692,3.958,5,4
4.741,3.694,7,2
5.063,3.900,5,6
1.913,3.806,3,3
0,0,0,3
0,0,0,4
0,0,0,4
0,0,0,3
4.867,1.720,0,2
4.700,4.533,6,4
4.250,5.227,0,2
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
4.633,4.533,3,2
3.346,6.250,0,2
0,0,0,4
2.200,4.208,0,3
3.889,4.879,3,3
5.000,2.933,5,2
4.923,2.043,7,1
3.138,1.037,2,3
4.760,2.952,5,4
4.593,0,7,4
6.556,1.387,3,6
5.577,1.813,3,4
5.000,1.833,0,1
5.321,1.417,0,2
5.943,1.120,6,3
5.630,2.600,1,4
4.577,2.609,3,2
5.704,2.548,3,2
6.036,3.821,0,4
4.269,1.667,3,2
4.900,4.700,3,4
5.370,1.548,5,3
5.000,2.433,6,2
4.800,1.233,3,3
4.214,1.833,0,4
5.407,1.200,6,3
3.750,1.545,0,4
5.967,1.852,3,4
3.333,4.444,0,4
4.667,3.240,0,4
4.179,5.292,0,4
3.905,6.407,3,4
4.967,6.833,3,3
4.320,2.897,5,4
5.114,6.560,3,3
4.200,1.792,0,3
4.400,2.708,0,4
4.400,2.143,0,6
2.542,1.714,5,3
5.704,3.387,5,4
4.769,2.150,5,3
4.680,1.300,3,3
3.733,3.200,5,3
4.250,1.818,5,4
5.967,2.000,3,4
4.233,2.000,6,4
2.926,3.094,3,2
3.536,3.040,0,4
4.115,3.625,7,6
3.625,1.037,3,3
4.057,1.808,5,4
1.133,1.760,0,4
5.034,1.361,7,4
4.133,6.300,6,4
6.360,1.259,3,3
2.577,3.838,3,4
4.800,2.567,3,3
5.480,1.633,3,3
2.048,2.781,3,3
3.963,1.189,2,3
5.886,4.760,5,3
5.038,4.100,5,3
0,0,0,3
4.167,1.680,0,4
5.655,3.630,5,3
4.074,3.103,3,4
0,0,0,4
1.926,5.750,5,3
4.429,2.370,1,3
4.407,4.000,3,2
4.250,3.818,0,3
4.417,4.333,5,4
3.690,1.871,5,4
3.517,2.909,0,2
0,0,0,4
0,0,0,3
4.893,3.520,0,2
4.440,2.355,5,2
3.593,2.706,5,4
5.222,2.243,7,4
4.407,1.258,3,2
5.280,1.800,5,3
6.100,3.000,6,3
6.185,3.452,6,3
2.348,5.516,3,3
4.867,6.800,0,4
5.320,1.846,5,3
5.400,2.700,3,3
5.800,2.933,5,4
2.308,5.357,3,4
3.400,3.467,3,4
4.069,2.091,0,2
2.913,2.067,3,3
0,0,0,3
2.222,1.903,3,3
5.767,4.867,4,3
4.560,4.476,3,6
3.185,6.100,3,1
0,0,0,2
4.344,3.000,7,4
5.440,2.667,5,4
3.667,5.407,3,3
4.519,5.750,3,3
2.920,2.571,3,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
3.607,5.667,0,3
3.886,6.000,5,3
3.692,3.452,3,2
1.929,4.828,5,3
0,0,0,3
0,0,0,3
3.720,3.857,3,4
4.920,1.857,3,3
2.125,6.533,3,4
2.885,6.680,5,4
4.034,5.818,0,4
4.115,6.032,5,4
0,0,0,6
5.481,3.345,5,4
2.885,3.000,0,4
0,0,0,2
0,0,0,4
2.105,1.680,0,3
4.267,1.833,0,2
5.370,1.767,3,4
5.080,1.500,1,3
4.231,3.160,5,2
2.407,1.200,3,3
2.933,1.083,3,3
5.630,3.897,3,3
3.500,2.633,7,3
4.500,1.867,3,3
