EntryID,SignFrequency(M),Iconicity(M),LexicalClass,SignType
drag,2.500,5.042,0,5
dragon,2.556,4.121,6,2
draw,4.741,5.000,7,3
drawer,2.286,3.417,6,5
dreadlocks,2.296,5.000,6,5
dream,4.583,3.233,6,2
dress,4.720,5.048,6,5
dress_up,4.655,2.045,0,5
dresser,3.333,2.406,6,5
drill,2.808,4.419,6,3
drink,6.348,7.000,6,2
drip,3.038,4.000,7,2
drive,5.813,2.767,7,5
drop,4.333,5.500,7,5
drown,1.875,2.611,7,3
drug,3.417,3.000,6,2
drum,2.000,6.048,6,5
drunk,3.967,1.639,2,2
dry,5.593,1.875,2,2
dryer,3.333,3.400,6,2
duck,3.370,4.500,6,2
due,4.185,2.875,2,3
dumb,4.963,4.333,2,2
dust,1.500,3.625,6,2
dye,4.296,2.710,7,5
each,5.222,2.645,5,1
each_other,4.179,2.417,5,5
eagle,2.846,2.292,6,2
ear,2.704,6.833,6,2
early,4.040,1.586,2,3
earmuffs,2.880,6.382,6,5
earn,4.207,1.618,7,3
earring,3.867,6.528,6,5
ears_up,4.241,4.138,7,5
earth,3.600,1.417,6,3
earthquake,3.640,3.810,6,3
easel,5.000,2.781,6,3
east,4.077,2.375,6,2
easter,3.100,1.933,6,5
easy,5.630,2.000,2,1
easy_to_do,5.615,2.781,7,1
eat_1,6.840,6.100,7,2
eat_2,6.680,5.867,7,2
eclipse,1.917,3.129,6,5
edge,2.889,4.563,6,1
edit_1,3.852,1.517,7,5
edit_2,3.154,1.844,7,5
effect,4.000,1.969,6,3
egg,5.440,1.571,6,5
egg_beater,2.059,6.154,7,2
ego,2.200,3.194,6,2
egypt,2.276,2.222,4,2
eight,4.379,1.583,0,2
either,5.333,2.680,0,1
electrician,3.148,1.300,6,5
elegance,4.231,1.875,6,2
elementary_school,4.138,1.360,0,3
elephant,3.259,5.500,6,2
elevator_1,2.720,4.094,6,3
elevator_2,4.519,3.950,6,3
eleven,5.857,4.560,1,2
email,5.292,1.333,6,3
embarrass,3.700,3.667,7,5
emotion,4.960,2.733,6,5
emperor,1.407,2.250,6,2
emphasis,4.926,2.063,6,3
empty_1,4.000,2.233,2,3
empty_2,2.900,5.400,0,5
end,5.514,4.458,7,1
enemy,4.406,2.133,6,5
energy,5.111,1.688,6,2
engagement,2.200,2.630,6,3
engine_start,4.686,1.192,7,5
engineer,3.480,1.857,6,1
english,4.645,1.026,6,1
enjoy,5.692,3.958,7,5
enough,4.741,3.694,3,3
enter,5.063,3.900,7,1
envelope,1.913,3.806,6,2
environment,4.867,1.720,0,3
equal,4.700,4.533,2,5
erase,4.250,5.227,0,3
eraser,4.633,4.533,6,3
erupt,3.346,6.250,0,3
escalate,2.200,4.208,0,2
escalator,3.889,4.879,6,2
escape,5.000,2.933,7,3
especially,4.923,2.043,3,4
europe,3.138,1.037,4,2
evaluate,4.760,2.952,7,5
evening,6.556,1.387,6,1
event,5.577,1.813,6,5
every_night,5.000,1.833,0,4
every_year,5.321,1.417,0,3
everyday,5.943,1.120,2,2
everything,5.630,2.600,5,5
evidence,4.577,2.609,6,3
example,5.704,2.548,6,3
excited,6.036,3.821,0,5
excuse,4.269,1.667,6,3
exercise,4.900,4.700,6,5
expect,5.370,1.548,7,2
expensive,5.000,2.433,2,3
experience,4.800,1.233,6,2
experiment,4.214,1.833,0,5
expert,5.407,1.200,2,2
expert(candoanything),3.750,1.545,0,5
explanation,5.967,1.852,6,5
explode,3.333,4.444,0,5
express(produce),4.667,3.240,0,5
eye-turn,4.179,5.292,0,5
eyeglasses,3.905,6.407,6,5
eyes,4.967,6.833,6,2
eyes_awake,4.320,2.897,7,5
face,5.114,6.560,6,2
faculty,4.200,1.792,0,2
fade,4.400,2.708,0,5
fail,4.400,2.143,0,1
faint,2.542,1.714,7,2
fair,5.704,3.387,7,5
fake,4.769,2.150,7,2
fall_1,4.680,1.300,6,2
fall_2,3.733,3.200,7,2
falling_asleep,4.250,1.818,7,5
family,5.967,2.000,6,5
famous,4.233,2.000,2,5
fan,2.926,3.094,6,3
fantasy,3.536,3.040,0,5
far,4.115,3.625,3,1
farm,3.625,1.037,6,2
fascinated,4.057,1.808,7,5
fashion,1.133,1.760,0,5
fast,5.034,1.361,3,5
fat,4.133,6.300,2,5
father,6.360,1.259,6,2
faucet,2.577,3.838,6,5
fault,4.800,2.567,6,2
favorite,5.480,1.633,6,2
feather,2.048,2.781,6,2
february,3.963,1.189,4,2
fed_up,5.886,4.760,7,2
feed,5.038,4.100,7,2
feedback,4.167,1.680,0,5
feel,5.655,3.630,7,2
fence,4.074,3.103,6,5
fencing,1.926,5.750,7,2
few,4.429,2.370,5,2
fiance,4.407,4.000,6,3
fifth,4.250,3.818,0,2
fight,4.417,4.333,7,5
figure,3.690,1.871,7,5
file(catalog),3.517,2.909,0,3
fill_out,4.893,3.520,0,3
film,4.440,2.355,7,3
filter,3.593,2.706,7,5
finally,5.222,2.243,3,5
finance,4.407,1.258,6,3
find,5.280,1.800,7,2
fine_1,6.100,3.000,2,2
fine_2,6.185,3.452,2,2
finger,2.348,5.516,6,2
fingers_crossed_E,4.867,6.800,0,5
fingerspell,5.320,1.846,7,2
fingerspelling,5.400,2.700,6,2
finish,5.800,2.933,7,5
fins,2.308,5.357,6,5
fire,3.400,3.467,6,5
fired,4.069,2.091,0,3
fireman,2.913,2.067,6,2
firetruck_1,2.222,1.903,6,2
first,5.767,4.867,1,2
fish,4.560,4.476,6,1
fishing,3.185,6.100,6,4
fit,4.344,3.000,3,5
fix,5.440,2.667,7,5
flag,3.667,5.407,6,2
flag_2,4.519,5.750,6,2
flashlight,2.920,2.571,6,2
flip,3.607,5.667,0,2
flip_switch(sameasLIGHT_SWITCH),3.886,6.000,7,2
flipflops,3.692,3.452,6,3
float,1.929,4.828,7,2
floor,3.720,3.857,6,5
flower,4.920,1.857,6,2
flute,2.125,6.533,6,5
fly,2.885,6.680,7,5
focus,4.034,5.818,0,5
fold,4.115,6.032,7,5
follow,5.481,3.345,7,5
follow_2,2.885,3.000,0,5
fond,2.105,1.680,0,2
fool,4.267,1.833,0,3
football,5.370,1.767,6,5
for,5.080,1.500,5,2
forbid,4.231,3.160,7,3
foreigner_1,2.407,1.200,6,2
foreigner_2,2.933,1.083,6,2
forest,5.630,3.897,6,2
forever,3.500,2.633,3,2
forever_2,4.500,1.867,6,2
forfeit,3.800,1.633,7,2
forgetful,4.519,4.323,2,2
fork,4.714,4.040,6,3
form,2.920,3.000,6,5
former,5.067,1.667,0,2
foul,2.550,1.480,0,2
four,5.333,6.900,1,2
fourth,4.607,5.500,0,2
fox,2.640,2.095,6,2
fraction,2.667,4.433,6,3
frame,2.263,5.581,6,5
france,3.111,1.452,4,2
fraud,2.526,1.233,6,2
freak_out,4.630,1.969,7,2
freckles,2.667,3.519,6,5
free,4.630,3.034,2,5
freedom(sameasRELEASE),4.344,2.536,6,5
freeway,3.840,1.667,6,5
freeze,4.630,3.424,7,5
french,2.571,1.259,6,2
frenchfries,4.645,2.139,6,2
friday,6.320,1.033,4,2
friend,6.462,2.250,6,5
friendly,3.933,4.630,2,5
friends_no_more,1.696,3.227,0,2
frog,2.731,2.250,6,2
from,4.889,2.600,5,3
from_then_on,4.929,3.500,0,1
front,4.241,4.567,5,2
frown,5.593,5.935,7,2
fruit,5.300,1.519,6,2
frustrate,4.667,2.296,7,2
fry,5.500,2.571,0,1
full,5.852,2.667,2,3
fun,5.969,1.700,2,2
function,3.966,1.792,0,3
funny,5.552,3.800,2,2
furniture,3.261,1.000,6,2
future,4.900,2.833,6,2
gallaudet,4.200,1.067,4,2
gamble,3.593,5.636,7,2
game,5.833,1.583,6,5
garage,4.280,2.000,6,3
garlic,3.696,1.774,6,2
gas,6.080,3.857,6,3
gate,3.759,5.875,6,1
gate_close,4.000,5.267,7,1
gay,4.692,1.250,2,2
generation,4.750,2.560,0,5
genius,4.071,3.167,0,2
germany,2.926,1.033,4,5
gesture,4.241,2.909,0,5
get,5.760,4.533,7,5
get_in_bed,4.172,2.273,0,3
