,Code,EntryID,SignFrequency(M),Iconicity(M),Neighborhood Density 2.0,SignType,LexicalClass
355,D_02_043,car,6.556,6.2,14,5,5
356,E_03_029,car_accident,3.933,3.933,0,5,7
357,E_01_039,car_battery,3.314,1.88,0,5,5
358,J_03_065,cards,4.103,6.435,0,3,5
359,B_03_039,careful,5.32,1.467,5,5,1
360,E_01_063,carousel,2.0,2.88,2,5,7
361,A_02_083,carrot,3.2960000000000003,3.533,0,4,5
362,K_01_105,carrot_2,4.042,2.44,3,4,5
363,K_03_075,carrot_3,2.2,2.346,4,4,5
364,J_02_042,carry,4.267,4.72,36,5,7
365,K_02_026,carve,4.08,2.958,0,1,7
366,A_01_008,castle,1.579,3.54,1,5,5
367,K_01_017,castle_2,2.273,2.24,0,5,5
368,K_02_019,castle_3,2.4,1.375,8,5,5
369,K_03_110,castle_4,2.455,3.462,5,5,5
370,H_02_050,casual,5.25,1.826,8,5,1
371,A_01_023,cat,5.097,4.618,9,4,5
372,K_02_047,cat_2,5.332999999999998,3.875,6,5,5
373,K_03_087,cat_3,5.12,3.88,0,5,5
374,E_03_083,catapult,1.5,6.097,14,4,7
375,G_02_033,catch_1,3.667,5.438,2,5,7
376,J_01_073,catch_2,2.778,5.75,6,4,7
377,K_03_109,catch_3,3.72,5.922999999999999,6,4,7
378,K_02_058,catch_baseball,3.826,5.667000000000002,3,1,7
379,E_01_034,category,6.314,1.346,5,5,5
380,G_01_025,catepillar,2.76,4.172,3,1,5
381,B_03_052,catholic,2.92,5.1,0,4,1
382,H_02_069,caught,4.037,5.391,0,1,7
383,D_01_088,cause,3.778,2.028,4,5,7
384,J_01_091,ceiling,2.759,4.917,3,5,5
385,J_02_100,celebrate,4.933,2.2,0,5,7
386,G_02_048,celery,2.704,0.0,0,4,5
387,K_01_128,cellphone,4.667,4.04,3,4,5
388,H_01_037,cemetery,3.0,1.95,5,5,5
389,C_01_027,center,3.4330000000000003,3.333,2,0,5
