,EntryID,Code,group_id,color_code
525,continue,D_03_032,9.0,#cce07b
526,convince,G_01_48,,#1eb2ad
527,convince_2,H_03_13,12.0,#5a81ce
528,cook,D_03_078,1.0,#9fa9f4
529,cookie,B_03_008,,#1eb2ad
530,cool_1,F_01_14,,#1eb2ad
531,cool_2,G_03_45,66.0,#e20486
532,cool_3,H_03_99,11.0,#75e594
533,cool_4,H_03_32,11.0,#75e594
534,cool_5,J_01_004,,#1eb2ad
535,cooperate,E_01_10,21.0,#5f4dbc
536,copy,D_01_064,,#1eb2ad
537,corkscrew,D_01_053,,#1eb2ad
538,CORKSCREW_2,K_01_085,,#1eb2ad
539,corn_1,A_02_084,,#1eb2ad
540,corn_2,C_02_026,30.0,#eeffb2
541,CORN_3,K_02_078,,#1eb2ad
542,corner,J_03_071,2.0,#ba98f2
543,"correct(grade,criticize)",J_02_040,71.0,#7ba3ed
544,cost,E_03_20,71.0,#7ba3ed
545,couch_1,G_02_13,2.0,#ba98f2
546,cough,C_02_071,,#1eb2ad
547,counselor,B_01_005,68.0,#d65e74
548,count,G_02_54,62.0,#4ed36d
549,country,C_03_058,,#1eb2ad
550,cousin,C_01_023,30.0,#eeffb2
551,cover_up,C_03_038,1.0,#9fa9f4
552,cow,A_01_033,16.0,#92efaf
553,cowboy,F_01_18,,#1eb2ad
554,crack,F_03_67,1.0,#9fa9f4
555,cracker,C_01_081,,#1eb2ad
556,CRACKER_2,K_03_093,,#1eb2ad
557,CRANKY,H_02_104,184.0,#fff56b
558,crash,J_02_017,,#1eb2ad
559,CRASH_PLANE,K_01_034,,#1eb2ad
560,crawl,D_01_068,,#1eb2ad
561,CRAWL_2,K_02_088,,#1eb2ad
562,crazy,D_03_040,4.0,#f9c2c6
563,cream,F_02_10,,#1eb2ad
564,CREAM_2,K_01_046,,#1eb2ad
565,create,D_03_076,27.0,#9d7fd1
566,credit_card,B_02_057,5.0,#f2dd8a
567,CREWCUT,K_02_127,,#1eb2ad
568,criticize,F_03_83,71.0,#7ba3ed
569,crocodile,D_01_081,2.0,#ba98f2
570,cross,C_01_067,15.0,#077741
571,cross_2,H_01_7,1.0,#9fa9f4
572,CROSS_3,K_03_028,,#1eb2ad
573,cross_heart,J_01_064,,#1eb2ad
574,crown,F_01_16,,#1eb2ad
575,CRUMPLE,K_01_124,,#1eb2ad
576,cry,B_03_028,97.0,#4411b2
577,CRY_2,K_01_003,,#1eb2ad
578,CRY_3,K_02_040,,#1eb2ad
579,CRY_4,K_03_060,,#1eb2ad
580,culture,H_01_51,,#1eb2ad
581,cup,A_01_010,5.0,#f2dd8a
582,curious,F_03_51,,#1eb2ad
583,curl,J_01_052,,#1eb2ad
584,CURL_2,K_01_072,,#1eb2ad
585,curly_hair,H_02_7,,#1eb2ad
586,curtain,A_02_025,2.0,#ba98f2
587,CURTSEY_1,K_02_006,,#1eb2ad
588,CURTSEY_2,K_03_038,,#1eb2ad
589,cut_1,E_02_46,,#1eb2ad
590,cut_2,F_01_65,,#1eb2ad
591,cute_1,B_03_087,104.0,#8ebbe2
592,cute_2,C_01_045,104.0,#8ebbe2
593,damn,F_01_98,20.0,#25e866
594,dance,B_02_063,10.0,#f9791d
595,dancer,A_02_034,10.0,#f9791d
596,danger,E_02_67,155.0,#99f453
597,dark,E_01_12,2.0,#ba98f2
598,dark_2(b),J_03_094,31.0,#edaaa1
599,dart,C_03_029,20.0,#25e866
600,date_1,G_01_31,50.0,#281c96
601,daughter,E_02_23,14.0,#fc46d8
602,day,C_01_044,8.0,#a8ffe3
603,deaf_1,F_03_38,,#1eb2ad
604,deaf_2,E_03_98,4.0,#f9c2c6
605,deaf_school,H_01_22,4.0,#f9c2c6
606,deal_cards,J_02_074,20.0,#25e866
607,death,A_01_076,12.0,#5a81ce
608,decide_1,B_02_074,4.0,#f9c2c6
609,decide_2,D_03_057,20.0,#25e866
610,decline,F_01_1,,#1eb2ad
611,DECORATE_1,K_01_073,,#1eb2ad
612,DECORATE_2,K_02_030,,#1eb2ad
613,dedicate_1,F_03_85,4.0,#f9c2c6
614,dedicate_2,G_03_94,8.0,#a8ffe3
615,deep,C_03_006,71.0,#7ba3ed
616,deer,A_03_060,65.0,#f2a4e7
617,defeat_2,G_03_90,27.0,#9d7fd1
618,definition,G_02_61,107.0,#ffc9d1
619,deflate,E_01_79,,#1eb2ad
620,degree,J_01_021,20.0,#25e866
621,delegate,H_03_1,,#1eb2ad
